,,0
exist,MPSP [$/gal],2.071796735707465
exist,Product GWP disp [kg CO2/gal],-1.2164950919636113
exist,Product GWP econ [kg CO2/gal],1.6625516828114975
exist,MPSP_no WWT [$/gal],1.9939903297518833
exist,Total CAPEX [MM$],121.78134125415417
exist,WWT CAPEX [MM$],0.0
exist,WWT CAPEX frac,0.0
exist,Annual net electricity [MWh/yr],-293987.80283377995
exist,Annual electricity consumption [MWh/yr],39867.649596973286
exist,WWT annual electricity consumption [MWh/yr],0.0
exist,WWT annual electricity consumption frac,0.0
exist,WWT produced energy [MWh/yr],0.0
exist,WWT ECR,0.0
exist,Clear cache,
new,MPSP [$/gal],2.0234194894728583
new,Product GWP disp [kg CO2/gal],-1.9352094205671109
new,Product GWP econ [kg CO2/gal],1.3359704477620917
new,MPSP_RIN [$/gal],1.9689808787915073
new,Product GWP disp_RIN [kg CO2/gal],-1.7825730072865316
new,Product GWP econ_RIN [kg CO2/gal],1.3320364247833099
new,MPSP_no WWT [$/gal],1.993162842326813
new,Product GWP disp_no WWT [kg CO2/gal],-1.5739696810118928
new,Product GWP econ_no WWT [kg CO2/gal],1.3608810868456238
new,CO2 cost net [$/tonne CO2],356.6554632103465
new,CO2 cost total [$/tonne CO2],1216.5165023643196
new,Product yield [gal/yr],37471556.189412035
new,Net GWP [kg CO2/yr],-72515308.54106
new,Total GWP [kg CO2/yr],63855122.550296515
new,Product ratio,0.7839761275421546
new,Electricity ratio,0.21602387245784535
new,Net GWP_RIN [kg CO2/yr],-66795784.60426644
new,Total GWP_RIN [kg CO2/yr],65531959.2023725
new,Product ratio_RIN,0.7616661907432223
new,Electricity ratio_RIN,0.19286662746183966
new,RNG yield_RIN [kg/yr],3313294.590895276
new,RNG ratio_RIN,0.04546718179493791
new,RNG CF econ_RIN [kg CO2/kg],0.899272135541569
new,Total GWP_no WWT [kg CO2/yr],63841749.152751505
new,Product ratio_no WWT,0.7987615124834987
new,Electricity ratio_no WWT,0.20123848751650145
new,WW price [¢/kg],0.1439116157906044
new,WW GWP disp [g CO2/kg],-17.180721943886603
new,WW GWP econ [g CO2/kg],-1.184761023429037
new,COD price [$/tonne],141.9455611290643
new,COD GWP disp [kg CO2/tonne],-1694.6006780132548
new,COD GWP econ [kg CO2/tonne],-116.85753603042974
new,COD in [mg/L],10169.548131371856
new,COD out [mg/L],1.4597977698879685
new,COD removal,0.9998564540183074
new,COD annual load [tonne/yr],7987.849511816403
new,Total CAPEX [MM$],133.5954624317001
new,WWT CAPEX [MM$],8.218971486283458
new,WWT CAPEX frac,0.06152133715234046
new,Annual net electricity [MWh/yr],-326371.0023245288
new,Annual electricity consumption [MWh/yr],42477.22428212645
new,WWT annual electricity consumption [MWh/yr],2215.3186014669427
new,WWT annual electricity consumption frac,0.052153092366704
new,WWT produced energy [MWh/yr],43251.57873784285
new,WWT ECR,0.051219369699646494
new,Clear cache,
